rank,name,url,category,subcategory,industry,design_style,color_mode,typography,hero_type,motion_level,product_ui,3d_webgl,distinctive_trait,curation_score_10,priority,tags,status,added_on,source_url,notes
209,Milanote,https://milanote.com,Webapp,Creative workspace,Creative Tools,"Visual workspace, collage-like, product-led",Light,Sans,Board / visual workspace UI,Medium,High,Low,Product interface communicates spatial organization immediately,9.2,A,creative|workspace|visual|product-ui|collage,Active,2026-08-07,https://milanote.com,
210,mymind,https://mymind.com,Webapp,Visual bookmarking / memory,Productivity,"Dreamy visual archive, editorial, AI-assisted",Dark,Sans,Visual card / memory stream,Medium,High,Low,Distinctive personal-memory interface built around imagery,9.5,A,visual|bookmarking|ai|product-ui|editorial,Active,2026-08-07,https://mymind.com,
211,Raindrop.io,https://raindrop.io,Webapp,Bookmark manager,Productivity,"Clean visual grid, utility-first",Light,Sans,Bookmark collections UI,Low,High,Low,Good reference for content-dense visual organization,9.0,B,bookmarks|grid|productivity|product-ui|clean,Active,2026-08-07,https://raindrop.io,
212,Jitter,https://jitter.video,Webapp,Motion design,Creative Tools,"Motion-first, colorful, product-led",Light,Sans,Animation editor / examples,High,High,Low,Marketing site uses the product's motion output as its identity,9.4,A,motion|creative|animation|product-ui|colorful,Active,2026-08-07,https://jitter.video,
213,ProtoPie,https://www.protopie.io,Webapp,Prototyping,Design Tools,"Interactive product-led, technical",Light,Sans,Prototype / interaction demos,High,High,Low,Excellent demonstration of complex interaction behavior,9.2,A,prototyping|interactive|design-tool|product-ui|motion,Active,2026-08-07,https://www.protopie.io,
214,Sketch,https://www.sketch.com,Webapp,Interface design,Design Tools,"Friendly product-led, refined, designer-centric",Light,Sans,Design editor / feature demos,Medium,High,Low,Strong balance of product details and restrained visual identity,9.2,A,design-tool|product-ui|creative|clean|prototyping,Active,2026-08-07,https://www.sketch.com,
215,LottieFiles,https://lottiefiles.com,Webapp,Animation platform,Creative Tools,"Animation-rich, playful, community-led",Light,Sans,Animated asset showcase,High,High,Low,Naturally motion-heavy interface with strong community content,9.2,A,animation|motion|creative|community|product-ui,Active,2026-08-07,https://lottiefiles.com,
216,Shapr3D,https://www.shapr3d.com,Webapp,3D CAD,Design Tools,"3D product-led, technical, premium",Mixed,Modern sans,3D model / CAD interface,High,High,High,Excellent presentation of spatial product workflows,9.4,A,3d|cad|design-tool|product-ui|technical,Active,2026-08-07,https://www.shapr3d.com,
217,Concepts,https://concepts.app,Webapp,Sketching / drawing,Creative Tools,"Illustration-led, colorful, tool-focused",Light,Sans,Drawing canvas / artwork,Medium,High,Low,Uses actual creative output to explain the product,9.1,B,drawing|creative|illustration|product-ui|colorful,Active,2026-08-07,https://concepts.app,
218,Ableton,https://www.ableton.com,Website,Music software / hardware,Creative Tools,"Utilitarian creative, bold color, modular",Light,Bold sans,Music product / editorial modules,Medium,Medium,Low,Strong grid and color system rooted in music-production culture,9.5,A,music|creative|grid|bold|product,Active,2026-08-07,https://www.ableton.com,
219,Native Instruments,https://www.native-instruments.com,Website,Music software / hardware,Creative Tools,"Dark music-tech, product-rich",Dark,Sans,Hardware / software product imagery,Medium,Medium,Low,Dense product ecosystem presented with strong audio-tech visuals,9.1,B,music|audio|dark|product|technology,Active,2026-08-07,https://www.native-instruments.com,
220,Vitsœ,https://www.vitsoe.com,Website,Furniture / systems,Furniture / Industrial Design,"Modernist, editorial, radically restrained",Light,Sans,Product / philosophy storytelling,Low,Low,Low,One of the clearest examples of design philosophy shaping a site,9.6,A,furniture|modernist|minimal|editorial|systems,Active,2026-08-07,https://www.vitsoe.com,
221,Hem,https://hem.com,Website,Furniture / design,Furniture / Interior,"Colorful modernism, image-led",Light,Sans,Furniture / interior photography,Medium,Low,Low,Bold color and art direction make furniture commerce feel editorial,9.3,A,furniture|colorful|modernist|editorial|commerce,Active,2026-08-07,https://hem.com,
222,Audo Copenhagen,https://audocph.com,Website,Furniture / lifestyle,Furniture / Interior,"Quiet luxury interiors, editorial",Light,Refined serif + sans,Interior / product imagery,Low,Low,Low,Warm luxury interior art direction with generous spacing,9.3,A,furniture|interior|luxury|editorial|minimal,Active,2026-08-07,https://audocph.com,
223,Ferm Living,https://fermliving.com,Website,Furniture / lifestyle,Furniture / Interior,"Soft Scandinavian, lifestyle editorial",Light,Sans,Interior / product photography,Low,Low,Low,Strong use of warm palettes and domestic photography,9.1,B,furniture|scandinavian|interior|lifestyle|commerce,Active,2026-08-07,https://fermliving.com,
224,Herzog & de Meuron,https://www.herzogdemeuron.com,Website,Architecture studio,Architecture,"Rigorous editorial archive, minimalist",Light,Sans,Project archive,Low,Low,Low,Dense architectural archive presented with disciplined restraint,9.4,A,architecture|archive|editorial|minimal|studio,Active,2026-08-07,https://www.herzogdemeuron.com,
225,MVRDV,https://www.mvrdv.com,Website,Architecture studio,Architecture,"Colorful architecture, project-rich",Light,Sans,Project grid / imagery,Medium,Low,Low,Color and project imagery make a huge architecture archive approachable,9.2,A,architecture|colorful|grid|portfolio|studio,Active,2026-08-07,https://www.mvrdv.com,
226,Zaha Hadid Architects,https://www.zaha-hadid.com,Website,Architecture studio,Architecture,"Futuristic, sculptural, image-led",Dark,Modern sans,Architecture / project imagery,Medium,Low,Medium,Website reflects the studio's fluid futuristic formal language,9.4,A,architecture|futuristic|sculptural|portfolio|image-led,Active,2026-08-07,https://www.zaha-hadid.com,
227,Guggenheim,https://www.guggenheim.org,Website,Museum,Arts & Culture,"Modern museum editorial, clean",Light,Sans,Exhibition / collection,Low,Low,Low,Strong contemporary cultural hierarchy around an iconic institution,9.1,B,museum|art|editorial|culture|minimal,Active,2026-08-07,https://www.guggenheim.org,
228,The Broad,https://www.thebroad.org,Website,Museum,Arts & Culture,"Contemporary art, bold, program-led",Light,Sans,Exhibition / artwork imagery,Medium,Low,Low,Art-forward interface with a strong contemporary visual tone,9.2,A,museum|contemporary-art|bold|culture|editorial,Active,2026-08-07,https://www.thebroad.org,
229,Dia Art Foundation,https://www.diaart.org,Website,Art foundation,Arts & Culture,"Minimal art institution, typographic",Light,Sans,Exhibition / program,Low,Low,Low,Restrained design aligns with minimal/conceptual-art identity,9.3,A,art|minimal|institution|typography|editorial,Active,2026-08-07,https://www.diaart.org,
230,Boiler Room,https://boilerroom.tv,Website,Music / events,Media & Entertainment,"Raw club culture, video-first, bold",Dark,Bold sans,Live / recorded performance,Medium,Medium,Low,Strong nightlife identity built around video and event discovery,9.4,A,music|video|culture|events|dark,Active,2026-08-07,https://boilerroom.tv,
231,Resident Advisor,https://ra.co,Webapp,Music events / editorial,Media & Entertainment,"Utility editorial, dense, club-culture",Dark,Sans,Events / editorial feed,Low,High,Low,Excellent information architecture for global music events,9.2,A,music|events|editorial|utility|webapp,Active,2026-08-07,https://ra.co,
232,Bandcamp,https://bandcamp.com,Webapp,Music marketplace,Media & Entertainment,"Utilitarian indie, artist-first",Light,Sans,Music / artist discovery,Low,High,Low,Artist-first information design with recognizable independent identity,9.0,B,music|marketplace|independent|utility|webapp,Active,2026-08-07,https://bandcamp.com,
233,SoundCloud,https://soundcloud.com,Webapp,Music streaming,Media & Entertainment,"Bold audio platform, creator-led",Light,Sans,Audio feed / waveform UI,Medium,High,Low,Waveform-centered interface remains a distinctive product signature,9.0,B,music|audio|creator|product-ui|webapp,Active,2026-08-07,https://soundcloud.com,
234,Tate,https://www.tate.org.uk,Website,Museum,Arts & Culture,"Bold museum editorial, accessible",Light,Bold sans,Exhibition / collection modules,Medium,Low,Low,Strong identity for a massive and diverse cultural archive,9.3,A,museum|art|editorial|bold|culture,Active,2026-08-07,https://www.tate.org.uk,
235,Design Museum,https://www.designmuseum.org,Website,Design museum,Arts & Culture,"Design-led institutional, editorial",Light,Sans,Exhibition / event modules,Low,Low,Low,Clear design-focused cultural information architecture,9.1,B,museum|design|editorial|culture|institution,Active,2026-08-07,https://www.designmuseum.org,
236,Louisiana Museum,https://www.louisiana.dk,Website,Museum,Arts & Culture,"Scandinavian cultural, editorial, image-led",Light,Serif + sans,Exhibition / art imagery,Low,Low,Low,Calm cultural design with excellent photography and typography,9.3,A,museum|scandinavian|art|editorial|image-led,Active,2026-08-07,https://www.louisiana.dk,
237,Atmos,https://www.atmos.earth,Blog,Climate / culture,Editorial,"Art-directed environmental editorial, immersive",Mixed,Serif + sans,Feature photography / long-form,Medium,Low,Low,Climate journalism presented with exceptional visual storytelling,9.6,A,editorial|climate|longform|art-direction|photography,Active,2026-08-07,https://www.atmos.earth,
238,Delayed Gratification,https://www.slow-journalism.com,Blog,Slow journalism,Editorial,"Print-inspired, infographic-rich, colorful",Light,Serif + sans,Magazine / infographic content,Low,Low,Low,Distinctive editorial system rooted in slow journalism and infographics,9.2,A,editorial|journalism|infographic|print-inspired|colorful,Active,2026-08-07,https://www.slow-journalism.com,
239,Domus,https://www.domusweb.it,Blog,Architecture / design,Editorial,"Italian design magazine, image-heavy",Light,Sans + serif,Architecture / design stories,Low,Low,Low,Strong architecture and design magazine identity,9.1,B,editorial|architecture|design|magazine|image-led,Active,2026-08-07,https://www.domusweb.it,
240,Artforum,https://www.artforum.com,Blog,Contemporary art,Editorial,"Art criticism, typographic, high-density",Light,Serif + sans,Editorial story grid,Low,Low,Low,Classic art-publication structure with recognizable typographic tone,9.1,B,editorial|art|criticism|typography|magazine,Active,2026-08-07,https://www.artforum.com,
241,NYT Magazine,https://www.nytimes.com/magazine,Blog,Long-form journalism,Editorial,"Premium long-form editorial, photography-led",Light,Serif + sans,Feature story / photography,Medium,Low,Low,"Benchmark long-form storytelling, typography and photography",9.6,A,editorial|longform|journalism|photography|magazine,Active,2026-08-07,https://www.nytimes.com/magazine,
242,Bloomberg Businessweek,https://www.bloomberg.com/businessweek,Blog,Business / culture,Editorial,"Bold magazine, data-rich, expressive",Light,Bold sans,Cover / editorial stories,Medium,Low,Low,Strong business editorial design with unusual graphic energy,9.3,A,editorial|business|bold|data|magazine,Active,2026-08-07,https://www.bloomberg.com/businessweek,
243,Obys,https://www.obys.agency,Website,Creative agency,Creative Services,"Experimental typography, motion-heavy, brutalist",Mixed,Expressive display type,Interactive portfolio,High,Low,Medium,Typography and motion function as the primary visual material,9.7,A,agency|typography|motion|experimental|brutalist,Active,2026-08-07,https://www.obys.agency,
244,Aristide Benoist,https://aristidebenoist.com,Website,Creative developer portfolio,Creative Services,"Minimal interactive, precise, motion-led",Light,Sans,Project portfolio,High,Low,Medium,Extremely refined micro-interactions and transitions,9.6,A,portfolio|developer|motion|minimal|interactive,Active,2026-08-07,https://aristidebenoist.com,
245,Studio Yukiko,https://www.studioyukiko.com,Website,Design studio,Creative Services,"Editorial, playful, typographic",Mixed,Expressive typography,Case studies / editorial work,Medium,Low,Low,Strong crossover between magazine design and brand systems,9.4,A,studio|editorial|typography|playful|branding,Active,2026-08-07,https://www.studioyukiko.com,
246,Dyson,https://www.dyson.com,Website,Consumer technology,Technology,"Technical product storytelling, cinematic",Mixed,Modern sans,Product engineering / 3D detail,High,Medium,Medium,Engineering details turned into visual product narratives,9.3,A,technology|product|engineering|3d|cinematic,Active,2026-08-07,https://www.dyson.com,
247,Rimowa,https://www.rimowa.com,Website,Luxury travel products,Luxury / Industrial Design,"Industrial luxury, editorial, product-led",Light,Refined sans,Product / travel imagery,Medium,Low,Low,Strong aluminum-material identity and premium product framing,9.4,A,luxury|travel|industrial|product|editorial,Active,2026-08-07,https://www.rimowa.com,
248,Gucci,https://www.gucci.com,Website,Fashion commerce,Luxury / Fashion,"Maximal fashion, campaign-led, art-directed",Mixed,Expressive serif + sans,Campaign / editorial imagery,High,Low,Medium,High-fashion campaigns create frequent shifts in visual language,9.4,A,fashion|luxury|maximal|campaign|art-direction,Active,2026-08-07,https://www.gucci.com,
249,Flos,https://www.flos.com,Website,Lighting / furniture,Furniture / Industrial Design,"Design-led, editorial, sculptural",Light,Modern sans,Lighting / interior imagery,Medium,Low,Low,Sculptural lighting presented like art objects,9.3,A,lighting|design|sculptural|editorial|product,Active,2026-08-07,https://www.flos.com,
250,Heatherwick Studio,https://www.heatherwick.com,Website,Architecture / design studio,Architecture / Design,"Image-led, sculptural, editorial",Light,Sans,Project photography,Medium,Low,Low,"Project storytelling emphasizes materiality, form and human scale",9.4,A,architecture|design|sculptural|portfolio|image-led,Active,2026-08-07,https://www.heatherwick.com,
251,No Art,https://www.noartmusic.com,Website,Music / culture experience,Media & Entertainment,"Immersive, art-led, anti-template",Dark,Expressive sans,Interactive music/art experience,High,Medium,High,Feels like a digital venue rather than a conventional music website,9.9,A,music|immersive|experimental|webgl|art-direction,Active,2026-08-07,https://www.noartmusic.com,"Awwwards SOTD, Aug 2026"
252,Alethia,https://www.alethia.earth,Website,Climate / impact,Climate / Technology,"Atmospheric, editorial, immersive",Mixed,Editorial sans,Narrative visual experience,High,Low,Medium,Combines environmental storytelling with elegant digital atmosphere,9.8,A,climate|immersive|editorial|storytelling|motion,Active,2026-08-07,https://www.alethia.earth,"Awwwards SOTD, Aug 2026"
253,Serotoninn,https://serotoninn.com,Website,Hospitality / wellness,Hospitality,"Surreal, sensory, cinematic",Mixed,Expressive display sans,Full-screen visual narrative,High,Low,High,Strong sensory art direction and dreamlike spatial composition,9.8,A,surreal|cinematic|immersive|motion|hospitality,Active,2026-08-07,https://serotoninn.com,"Awwwards SOTD, Aug 2026"
254,Lacoste Ace Breaker,https://members-play.lacoste.com/ace-breaker/gb/en/,Website,Interactive campaign,Fashion / Sports,"Game-like, playful, 3D campaign",Mixed,Sporty display sans,Interactive game / product experience,High,High,High,Turns a product campaign into a playful digital experience,9.8,A,fashion|sports|game|3d|interactive|campaign,Active,2026-08-07,https://members-play.lacoste.com/ace-breaker/gb/en/,"Awwwards SOTD, Aug 2026"
255,Noomo Showcase,https://showcase.noomoagency.com,Website,Creative showcase,Creative Services,"Cinematic, motion-heavy, experimental",Dark,Large sans,Showreel / interactive portfolio,High,Low,High,Portfolio behaves like a sequence of high-production visual scenes,9.9,A,studio|cinematic|motion|3d|showcase,Active,2026-08-07,https://showcase.noomoagency.com,"Awwwards SOTD, Aug 2026"
256,2xA Studio,https://2xa.studio,Website,Creative studio,Creative Services,"Minimal, kinetic, typographic",Mixed,Large display type,Interactive portfolio,High,Low,Medium,Very precise motion and typography create a premium studio identity,9.7,A,studio|typography|motion|minimal|interactive,Active,2026-08-07,https://2xa.studio,"Awwwards SOTD, Jul 2026"
257,Made With GSAP,https://madewithgsap.com,Website,Motion showcase,Creative Technology,"Motion-first, experimental, showcase-led",Mixed,Expressive sans,Animated showcase grid,High,Low,Medium,A concentrated reference library for high-end browser motion,9.9,A,gsap|motion|interactive|experimental|showcase,Active,2026-08-07,https://madewithgsap.com,"Awwwards SOTD, Jul 2026"
258,Obys Experiment Space,https://experiment.obys.agency,Website,Experimental lab,Creative Services,"Experimental, typographic, interactive",Mixed,Experimental display type,Interactive experiments,High,Low,High,Treats the browser as a visual playground rather than a document,10.0,A,experimental|typography|webgl|interaction|motion,Active,2026-08-07,https://experiment.obys.agency,"Awwwards SOTD, Jul 2026"
259,TRIONN,https://trionn.com,Website,Digital studio,Creative Services,"Futuristic, AI-inflected, motion-rich",Dark,Modern grotesk,Interactive studio presentation,High,Low,High,Dense visual effects remain controlled and premium,9.8,A,studio|futuristic|ai|motion|webgl,Active,2026-08-07,https://trionn.com,"Awwwards SOTD, Jul 2026"
260,The Triadic Ballet AI,https://www.thetriadicballetai.com,Website,AI art experience,Art / Technology,"Bauhaus-inspired, AI, theatrical",Dark,Geometric display type,Interactive AI art experience,High,Low,High,Reinterprets historic stage design as a contemporary digital artwork,9.9,A,bauhaus|ai|art|3d|experimental|interactive,Active,2026-08-07,https://www.thetriadicballetai.com,
261,Razed Mods,https://www.razedmods.com,Website,Gaming / modding portfolio,Gaming,"Dark, cinematic, game-like",Dark,Technical sans,Full-screen game imagery,High,Low,High,Strong real-time/gaming atmosphere and dramatic spatial transitions,9.7,A,gaming|cinematic|dark|3d|interactive,Active,2026-08-07,https://www.razedmods.com,
262,homunculus Inc.,https://homunculus.jp,Website,Creative studio,Creative Services,"Japanese experimental, playful, interactive",Mixed,Expressive Japanese/Latin type,Interactive studio experience,High,Low,Medium,Playful interaction language without sacrificing visual discipline,9.7,A,japanese|studio|interactive|playful|experimental,Active,2026-08-07,https://homunculus.jp,
263,Dobre Agency,https://dobre.agency,Website,Creative agency,Creative Services,"Bold, kinetic, contemporary",Mixed,Large display type,Animated portfolio,High,Low,Medium,Very strong type scale and kinetic composition,9.7,A,agency|typography|motion|bold|portfolio,Active,2026-08-07,https://dobre.agency,
264,SHIFTBRAIN,https://shiftbrain.com,Website,Digital creative studio,Creative Services,"Japanese digital, polished, interactive",Mixed,Sans,Interactive case-study system,High,Low,Medium,Refined Japanese digital craft and exceptionally clean interaction design,9.8,A,japanese|studio|interactive|motion|case-study,Active,2026-08-07,https://shiftbrain.com,
265,Garden Eight,https://garden-eight.com,Website,Digital studio,Creative Services,"Elegant interactive, typographic, crafted",Mixed,Refined sans,Portfolio / interactive transitions,High,Low,Medium,Subtle interaction details make the site feel highly crafted,9.7,A,studio|interactive|typography|motion|minimal,Active,2026-08-07,https://garden-eight.com,
266,baqemono.inc,https://baqemono.jp,Website,Creative studio,Creative Services,"Experimental Japanese, 3D, kinetic",Dark,Expressive sans,Interactive visual world,High,Low,High,"Strong mix of surreal imagery, motion and technical experimentation",9.8,A,japanese|studio|3d|experimental|motion,Active,2026-08-07,https://baqemono.jp,
267,Exo Ape,https://www.exoape.com,Website,Digital studio,Creative Services,"Cinematic, luxury digital, motion-rich",Dark,Modern sans,Case-study reel / transitions,High,Low,High,Extremely polished transitions and premium digital-product storytelling,9.8,A,studio|cinematic|luxury|motion|webgl,Active,2026-08-07,https://www.exoape.com,
268,Unseen Studio,https://unseen.co,Website,Digital studio,Creative Services,"Immersive, art-directed, experimental",Dark,Large sans,Interactive portfolio,High,Low,High,Visual storytelling feels closer to title design than a standard portfolio,9.9,A,studio|immersive|art-direction|webgl|motion,Active,2026-08-07,https://unseen.co,
269,Bürocratik,https://www.burocratik.com,Website,Digital studio,Creative Services,"Sophisticated, minimal, interaction-led",Mixed,Refined sans,Case-study / motion portfolio,High,Low,Medium,Exceptional balance between restraint and advanced interaction,9.8,A,studio|minimal|motion|interactive|premium,Active,2026-08-07,https://www.burocratik.com,
270,AQuest,https://www.aquest.it,Website,Creative technology studio,Creative Services,"Immersive, 3D, technology-led",Dark,Sans,Interactive project showcase,High,Low,High,Technically ambitious 3D storytelling presented with strong art direction,9.8,A,studio|3d|webgl|immersive|technology,Active,2026-08-07,https://www.aquest.it,
271,Utsubo,https://www.utsubo.com,Website,Digital studio,Creative Services,"Elegant, experimental, motion-led",Mixed,Expressive sans,Interactive portfolio,High,Low,Medium,High-end motion and unusual transitions with restrained visual noise,9.7,A,studio|motion|interactive|experimental|portfolio,Active,2026-08-07,https://www.utsubo.com,
272,Merci-Michel,https://www.merci-michel.com,Website,Digital production studio,Creative Services,"Playful luxury, interactive, campaign-led",Mixed,Expressive sans,Interactive campaign reel,High,Low,High,Strong blend of playful interaction and luxury brand production,9.8,A,studio|interactive|campaign|luxury|3d,Active,2026-08-07,https://www.merci-michel.com,
273,Mucho,https://wearemucho.com,Website,Brand studio,Creative Services,"Editorial branding, sophisticated, systems-led",Light,Expressive serif + sans,Case-study editorial grid,Medium,Low,Low,Excellent identity systems presented with magazine-level clarity,9.6,A,branding|studio|editorial|systems|typography,Active,2026-08-07,https://wearemucho.com,
274,Moving Brands,https://movingbrands.com,Website,Brand / experience studio,Creative Services,"Dynamic identity, motion-led, premium",Mixed,Modern sans,Showreel / identity systems,High,Low,Medium,Excellent motion-branding and flexible identity presentation,9.7,A,branding|motion|systems|studio|identity,Active,2026-08-07,https://movingbrands.com,
275,Accept & Proceed,https://www.acceptandproceed.com,Website,Brand studio,Creative Services,"Conceptual, editorial, bold",Mixed,Large editorial type,Case studies / journal,Medium,Low,Low,Strong conceptual art direction with unusually thoughtful typography,9.6,A,branding|editorial|conceptual|typography|studio,Active,2026-08-07,https://www.acceptandproceed.com,
276,Studio Airport,https://www.studioairport.nl,Website,Interdisciplinary studio,Creative Services,"Editorial, cultural, image-led",Light,Editorial serif + sans,Project stories / visual archive,Medium,Low,Low,Cultural projects feel curated rather than simply listed,9.5,A,studio|editorial|culture|art-direction|portfolio,Active,2026-08-07,https://www.studioairport.nl,
277,Kurppa Hosk,https://kurppahosk.com,Website,Brand studio,Creative Services,"Scandinavian systems, premium, editorial",Light,Modern sans,Identity case studies,Medium,Low,Low,Outstanding presentation of brand systems and visual identity logic,9.6,A,branding|scandinavian|systems|editorial|studio,Active,2026-08-07,https://kurppahosk.com,
278,Studio Freight,https://studiofreight.com,Website,Creative studio,Creative Services,"Editorial, bold, art-directed",Mixed,Large display sans,Case-study montage,High,Low,Medium,"Very strong use of typography, imagery and unexpected transitions",9.8,A,studio|editorial|typography|motion|art-direction,Active,2026-08-07,https://studiofreight.com,
279,Fantasy,https://fantasy.co,Website,Product / experience studio,Creative Services,"Future-facing, cinematic, product-led",Dark,Modern sans,Digital product showcase,High,Medium,Medium,Concept work and product interfaces are staged like cinematic objects,9.6,A,studio|product-design|cinematic|future|motion,Active,2026-08-07,https://fantasy.co,
280,B-Reel,https://www.b-reel.com,Website,Creative technology studio,Creative Services,"Culture-led, interactive, cinematic",Mixed,Sans,Project / film montage,High,Low,Medium,Broad creative output held together by strong digital art direction,9.6,A,studio|culture|interactive|cinematic|campaign,Active,2026-08-07,https://www.b-reel.com,
281,North Kingdom,https://www.northkingdom.com,Website,Experience studio,Creative Services,"Story-driven, interactive, premium",Dark,Sans,Immersive case-study experience,High,Low,High,Long-form digital experiences with strong game/story sensibility,9.7,A,studio|interactive|storytelling|3d|immersive,Active,2026-08-07,https://www.northkingdom.com,
282,DesignStudio,https://design.studio,Website,Brand studio,Creative Services,"Bold identity, editorial, contemporary",Mixed,Expressive type,Identity case studies,Medium,Low,Low,Brand identities shown as complete living visual worlds,9.6,A,branding|studio|identity|editorial|typography,Active,2026-08-07,https://design.studio,
283,Synchronized Studio,https://synchronized.studio,Website,Digital studio,Creative Services,"Minimal, kinetic, refined",Dark,Modern sans,Interactive portfolio,High,Low,Medium,Micro-interactions and precise transitions create a highly premium feel,9.7,A,studio|minimal|motion|interactive|premium,Active,2026-08-07,https://synchronized.studio,
284,Aino Agency,https://aino.agency,Website,Creative agency,Creative Services,"Bold, contemporary, kinetic",Mixed,Display sans,Animated project grid,High,Low,Medium,Confident typography and strong motion hierarchy,9.5,A,agency|bold|motion|typography|portfolio,Active,2026-08-07,https://aino.agency,
285,Spring/Summer,https://springsummer.dk,Website,Digital agency,Creative Services,"Scandinavian, art-directed, interactive",Mixed,Modern sans,Project grid / interactions,High,Low,Medium,Clean Scandinavian craft with surprisingly expressive interaction,9.6,A,agency|scandinavian|interactive|motion|art-direction,Active,2026-08-07,https://springsummer.dk,
286,Wonderland,https://wonderland.studio,Website,Digital studio,Creative Services,"Immersive, playful, experimental",Dark,Expressive sans,Interactive visual portfolio,High,Low,High,Uses movement and spatial composition to create a distinctive studio world,9.6,A,studio|immersive|experimental|3d|motion,Active,2026-08-07,https://wonderland.studio,
287,Your Majesty,https://yourmajesty.co,Website,Creative agency,Creative Services,"Bold digital, fashion-aware, cinematic",Mixed,Large sans,Campaign / product work,High,Low,Medium,Strong campaign art direction and contemporary digital styling,9.5,A,agency|fashion|cinematic|campaign|motion,Active,2026-08-07,https://yourmajesty.co,
288,Monks,https://www.monks.com,Website,Digital creative company,Creative Services,"Large-scale creative, interactive, bold",Mixed,Sans,Showcase / case studies,High,Low,Medium,Complex agency offering presented with strong visual energy,9.4,A,agency|interactive|campaign|digital|motion,Active,2026-08-07,https://www.monks.com,
289,Media.Work,https://media.work,Website,Design studio,Creative Services,"Experimental editorial, graphic, typographic",Mixed,Expressive typography,Project / visual archive,Medium,Low,Medium,Graphic-design sensibility drives the entire browsing experience,9.6,A,studio|editorial|typography|experimental|graphic-design,Active,2026-08-07,https://media.work,
290,Anton & Irene,https://antonandirene.com,Website,Design studio,Creative Services,"Concept-driven, interactive, editorial",Mixed,Expressive sans,Project stories,High,Low,Medium,Each case study gets a bespoke visual language rather than a fixed template,9.7,A,studio|conceptual|interactive|editorial|case-study,Active,2026-08-07,https://antonandirene.com,
291,Pangram Pangram,https://pangrampangram.com,Website,Type foundry,Typography,"Experimental type playground, bold, editorial",Light,Display typography,Interactive type specimens,High,Medium,Low,Typeface specimens behave like graphic compositions rather than product cards,9.8,A,typography|type-foundry|experimental|editorial|interactive,Active,2026-08-07,https://pangrampangram.com,
292,PP Fragment,https://pp-fragment.com,Website,Typeface microsite,Typography,"Highly expressive, typographic, experimental",Mixed,PP Fragment,Interactive specimen,High,Low,Medium,One typeface turned into a complete visual universe,9.9,A,typography|microsite|experimental|motion|specimen,Active,2026-08-07,https://pp-fragment.com,
293,Editorial New,https://www.editorialnew.com,Website,Typeface microsite,Typography,"Editorial, oversized type, art-directed",Light,Editorial New,Interactive specimen / editorial layouts,Medium,Low,Low,Outstanding demonstration of type through real editorial composition,9.8,A,typography|editorial|typeface|specimen|art-direction,Active,2026-08-07,https://www.editorialnew.com,
294,Grilli Type,https://www.grillitype.com,Website,Type foundry,Typography,"Swiss-derived, playful, specimen-rich",Light,Multiple display families,Interactive type catalog,High,Medium,Low,Excellent interactive type specimens with strong Swiss design lineage,9.8,A,typography|swiss|type-foundry|interactive|specimen,Active,2026-08-07,https://www.grillitype.com,
295,Dinamo,https://abcdinamo.com,Website,Type foundry,Typography,"Conceptual, utilitarian, experimental",Light,Multiple custom typefaces,Interactive catalog,Medium,Medium,Low,Type foundry website with a distinctive conceptual and anti-generic voice,9.8,A,typography|type-foundry|conceptual|experimental|catalog,Active,2026-08-07,https://abcdinamo.com,
296,Klim Type Foundry,https://klim.co.nz,Website,Type foundry,Typography,"Editorial, precise, specimen-led",Light,Multiple type families,Type specimen / catalog,Medium,Low,Low,Beautiful long-form specimens and disciplined typography hierarchy,9.6,A,typography|type-foundry|editorial|specimen|minimal,Active,2026-08-07,https://klim.co.nz,
297,Commercial Type,https://commercialtype.com,Website,Type foundry,Typography,"Editorial, archival, sophisticated",Light,Multiple type families,Catalog / specimen,Low,Low,Low,Strong editorial typography and dense catalog organization,9.6,A,typography|type-foundry|editorial|archive|catalog,Active,2026-08-07,https://commercialtype.com,
298,Colophon Foundry,https://www.colophon-foundry.org,Website,Type foundry,Typography,"Conceptual typography, clean, specimen-led",Light,Multiple type families,Type specimen,Medium,Low,Low,Type specimens combine conceptual art direction with practical information,9.6,A,typography|type-foundry|conceptual|specimen|minimal,Active,2026-08-07,https://www.colophon-foundry.org,
299,Production Type,https://www.productiontype.com,Website,Type foundry,Typography,"Editorial, sophisticated, high-density",Light,Multiple type families,Catalog / specimen,Medium,Low,Low,Excellent typography-focused information architecture,9.6,A,typography|type-foundry|editorial|catalog|specimen,Active,2026-08-07,https://www.productiontype.com,
300,Displaay,https://displaay.net,Website,Type foundry,Typography,"Playful specimen, contemporary, bold",Mixed,Display type families,Animated type specimens,Medium,Low,Low,Strong color and typographic scale make browsing fonts highly visual,9.6,A,typography|type-foundry|playful|specimen|bold,Active,2026-08-07,https://displaay.net,
301,Sharp Type,https://sharptype.co,Website,Type foundry,Typography,"Luxury editorial, specimen-rich",Light,Display + text families,Editorial type specimens,Medium,Low,Low,Premium fashion/editorial sensibility applied to type presentation,9.6,A,typography|type-foundry|luxury|editorial|specimen,Active,2026-08-07,https://sharptype.co,
